SlidingTackle;GKDiving;GKHandling;GKKicking;GKPositioning;GKReflexes
79;7;13;10;7;13
77;12;6;8;11;8
75;15;12;12;15;14
15;12;14;14;12;8
14;12;12;8;5;8
30;11;15;16;12;15
82;11;7;6;7;14
87;11;16;11;15;13
32;9;16;16;15;6
51;11;13;14;15;13
81;7;7;9;15;9
76;8;13;9;6;8
77;15;11;10;10;12
35;6;9;7;7;8
33;10;12;7;11;10
50;7;13;9;7;9
80;12;7;8;8;13
12;81;76;79;81;82
26;13;13;8;12;6
33;8;7;9;7;12
26;12;14;14;8;5
23;11;16;8;14;16
68;7;8;11;7;13
26;11;11;14;9;16
72;15;7;12;8;13
60;12;10;7;15;9
85;14;14;13;10;7
79;14;7;9;6;6
48;13;12;12;11;11
31;11;6;10;14;9
12;83;78;70;77;84
78;6;13;8;7;14
77;9;12;15;9;8
56;9;11;9;5;14
25;5;3;5;5;3
80;10;15;16;15;15
28;6;10;7;11;12
49;11;9;8;9;13
25;14;9;6;7;15
24;16;9;16;15;10
50;7;10;13;11;12
83;11;8;11;12;15
22;5;8;14;6;8
16;81;75;75;81;83
81;14;6;9;10;7
78;6;10;13;10;15
88;13;7;8;14;15
34;14;12;8;6;8
36;11;12;10;15;16
74;6;11;15;16;6
79;14;11;14;6;12
53;10;4;14;4;14
69;11;9;10;13;13
42;10;15;11;8;13
84;10;11;8;13;13
14;8;14;8;13;10
64;6;11;16;15;8
79;16;11;10;7;7
13;79;83;70;80;84
68;13;15;15;13;13
62;5;4;10;8;7
15;6;7;5;4;4
35;14;11;9;9;13
68;14;14;9;16;8
67;6;10;15;7;16
31;12;10;5;13;14
20;5;10;13;6;6
79;1;1;1;1;1
82;13;14;10;9;5
39;9;14;6;10;11
23;7;8;13;12;6
38;6;8;11;10;12
69;8;10;13;8;7
63;14;6;11;7;10
56;6;14;7;13;11
80;11;12;10;5;14
49;6;9;13;13;12
81;16;15;15;7;7
77;9;9;14;15;8
30;10;6;10;13;11
76;9;13;15;9;15
28;14;7;13;11;11
81;9;7;15;7;15
83;13;14;7;7;13
14;83;79;85;75;80
67;10;7;10;15;14
75;8;14;13;13;14
69;16;12;10;8;10
34;12;14;6;8;15
76;10;9;7;13;12
80;14;9;6;9;5
73;4;4;4;4;4
82;11;15;11;14;10
59;14;7;9;12;11
31;9;11;11;12;8
28;12;8;13;8;15
17;83;76;74;77;83
18;79;74;69;79;84
27;11;10;12;12;11
49;9;8;14;8;15
53;14;15;11;14;14
80;13;10;9;12;9
64;12;9;6;14;8
78;13;9;10;15;16
76;6;16;16;9;9
13;79;77;68;81;81
80;14;8;8;13;11
56;9;14;11;6;10
77;12;10;6;8;10
80;16;7;8;14;11
72;9;14;6;9;10
77;15;13;9;14;9
78;10;12;13;7;7
78;13;14;12;10;8
46;6;7;14;7;6
25;6;11;13;10;12
31;11;12;11;15;8
59;14;10;15;15;13
22;9;10;16;7;15
34;13;12;13;8;16
18;82;72;74;81;85
14;79;80;74;80;80
80;8;14;14;13;12
76;10;11;14;13;7
11;82;77;71;80;84
77;16;11;11;15;10
80;14;8;12;9;7
22;12;16;14;11;11
83;11;14;6;13;9
82;14;13;8;11;14
76;8;9;14;15;6
75;8;8;14;11;10
77;13;9;15;7;14
82;6;12;9;6;13
25;9;11;8;9;11
26;15;12;9;7;13
83;16;13;10;9;8
22;8;10;10;14;6
19;8;10;9;7;8
66;16;9;6;9;9
82;7;10;15;16;9
78;11;15;10;7;10
81;12;16;7;12;6
31;8;8;8;14;6
30;9;5;6;5;14
82;14;9;7;9;15
79;14;6;7;12;8
49;12;11;10;14;6
78;14;13;14;14;11
70;4;5;3;4;8
82;9;12;8;9;15
76;15;11;14;10;6
77;12;9;10;14;10
16;79;77;77;79;83
35;6;14;7;6;12
16;15;12;16;13;12
32;15;5;14;13;7
37;16;10;8;8;11
17;82;81;79;77;82
34;10;5;5;13;12
27;12;7;8;6;10
74;13;8;13;12;10
10;79;74;77;82;83
77;6;14;10;13;16
77;6;7;6;15;7
30;10;12;16;10;14
74;9;13;15;8;10
14;79;72;69;80;86
80;5;11;12;6;12
42;16;14;9;16;8
20;81;80;76;76;81
78;13;10;9;11;8
79;10;9;14;11;6
62;6;15;14;8;11
73;16;15;10;7;14
82;5;15;10;13;7
19;16;7;13;15;8
82;10;7;10;9;14
81;7;5;9;3;5
65;16;10;14;6;13
64;9;13;6;16;9
39;6;10;8;8;6
24;14;13;7;7;15
40;3;5;5;5;3
15;78;76;81;77;82
83;13;10;16;9;9
30;15;15;8;10;12
12;7;15;9;5;13
63;14;16;14;16;15
71;7;6;14;16;10
78;15;5;7;6;11
85;9;12;12;6;13
81;5;12;9;5;12
81;9;5;12;10;15
82;6;7;12;11;14
80;14;8;10;6;13
79;7;9;12;10;15
23;10;15;14;11;11
20;8;8;9;7;14
13;77;72;78;82;84
73;13;7;15;13;12
80;11;14;10;15;7
14;75;81;74;81;76
50;6;9;5;7;15
62;10;10;15;7;13
82;6;10;8;5;5
12;82;80;64;78;82
77;10;10;6;6;12
75;14;14;13;13;11
14;84;77;81;80;79
40;10;11;13;8;7
18;14;13;8;9;10
13;81;82;66;82;79
37;9;7;15;6;12
75;7;8;13;7;12
32;14;10;5;13;6
27;8;7;13;8;14
32;15;13;10;13;6
36;12;7;8;11;13
25;11;8;8;8;13
74;9;11;12;12;10
19;9;12;8;10;9
16;81;75;71;77;82
77;15;7;16;9;8
81;9;14;13;8;10
76;15;13;12;10;15
12;80;73;65;77;85
35;14;13;7;11;8
41;8;12;13;16;14
20;74;79;78;81;79
76;11;15;16;10;15
72;13;6;6;11;15
33;15;11;13;6;12
26;11;14;12;14;13
78;12;7;7;7;8
66;12;14;14;10;16
18;81;75;74;80;82
30;11;10;9;13;7
18;10;12;12;8;14
65;6;13;13;14;14
53;12;8;9;11;10
73;6;14;16;11;7
77;12;16;8;7;9
25;13;15;12;13;14
15;8;14;9;14;13
76;7;7;7;9;9
39;8;12;10;10;9
22;10;9;12;7;7
79;11;9;8;6;11
20;8;15;7;15;15
25;10;14;12;8;11
71;16;11;12;16;10
71;11;13;8;14;10
81;16;14;11;7;9
35;7;9;10;8;13
76;10;8;13;15;9
62;8;12;13;11;14
28;11;13;8;12;8
38;7;6;7;11;8
82;7;10;12;10;6
27;11;12;9;10;15
40;6;6;10;10;10
80;10;7;7;16;10
79;9;10;10;12;14
80;15;9;16;7;9
76;7;12;16;15;7
31;15;13;15;14;8
11;77;78;77;79;81
72;13;9;16;6;12
63;11;12;13;7;6
85;9;9;14;14;9
42;10;14;10;7;7
77;15;12;15;10;6
76;13;5;9;8;14
83;12;16;11;13;11
79;14;14;7;9;15
76;15;8;7;11;9
76;8;7;10;9;10
13;82;74;78;76;82
24;8;11;16;10;14
61;12;6;13;16;10
44;12;7;8;7;13
55;15;11;6;14;16
69;7;10;6;14;6
78;9;7;13;8;15
73;14;10;14;12;9
76;13;7;16;13;7
79;7;8;12;15;10
72;9;10;11;8;9
79;14;10;7;9;15
39;14;15;7;7;8
76;9;12;7;11;15
12;80;76;75;79;82
84;15;16;9;10;14
77;10;16;9;12;7
27;5;11;15;9;9
30;9;11;7;7;15
32;13;6;9;15;11
69;8;11;6;7;10
68;7;11;13;13;14
27;10;15;12;8;8
38;10;6;9;16;6
55;14;8;13;7;11
78;14;5;15;14;5
51;9;14;12;6;10
17;81;74;82;78;83
21;9;8;9;11;12
75;8;13;11;15;15
82;14;8;14;10;15
46;9;9;11;11;10
68;12;10;13;6;14
25;10;15;8;10;6
82;10;8;6;16;11
59;9;13;13;12;16
55;15;16;11;6;16
78;7;9;13;10;15
79;10;11;16;10;14
15;12;14;12;12;9
81;9;15;7;13;14
21;7;9;8;13;13
35;9;16;7;8;7
34;9;14;8;8;7
49;7;6;14;10;8
82;10;11;13;15;7
14;81;80;63;79;81
75;8;6;13;15;9
80;15;7;12;10;14
77;14;7;6;12;8
74;14;11;6;15;8
65;6;15;15;9;11
79;16;8;7;8;16
76;10;12;7;10;8
79;9;9;8;10;15
43;10;9;14;7;12
70;11;16;12;14;10
80;7;12;10;8;15
72;13;9;16;15;7
80;5;4;3;4;5
13;75;76;70;79;81
73;12;6;8;9;12
28;9;11;9;11;7
81;10;12;12;9;13
31;13;7;10;10;8
73;15;6;8;10;7
81;1;1;1;1;1
40;6;6;11;8;7
78;12;16;10;12;6
21;11;7;15;13;7
24;80;78;72;77;81
78;14;12;9;7;8
75;10;16;12;9;14
30;9;7;5;9;10
26;8;12;11;10;9
25;14;12;9;12;11
11;76;80;77;77;79
11;74;81;79;81;77
20;6;13;8;14;11
77;6;11;12;14;7
60;8;6;9;15;16
80;14;9;13;13;9
12;83;70;78;77;85
16;80;74;64;76;82
12;80;80;72;77;79
77;13;10;13;12;11
80;11;13;15;10;15
80;14;7;12;12;12
36;11;8;9;9;8
27;8;9;16;9;11
13;79;78;74;80;80
21;12;8;9;13;12
78;6;10;12;9;8
37;6;15;11;9;12
27;8;9;14;7;6
29;15;12;5;12;15
21;16;8;12;11;15
74;16;10;15;16;15
13;80;76;70;77;81
29;8;10;11;13;6
74;7;9;7;9;9
26;14;15;11;8;12
13;78;77;70;81;79
80;4;3;2;3;2
19;13;9;12;9;13
60;7;11;7;14;8
16;7;13;13;15;6
78;11;8;15;12;15
34;6;7;8;9;7
42;14;6;11;5;11
75;10;8;14;6;8
36;7;10;10;8;6
16;8;7;12;9;13
77;6;10;5;14;9
12;79;77;71;76;80
74;14;15;14;6;7
50;13;7;11;5;11
76;11;15;8;7;7
77;7;8;8;8;7
21;8;15;15;13;8
76;13;13;16;8;9
63;14;6;12;9;10
79;10;7;14;7;10
48;5;12;8;11;10
77;8;14;15;12;7
76;7;16;9;10;9
72;12;7;10;13;11
35;8;9;7;7;7
29;14;14;8;7;15
22;76;73;62;82;80
30;6;9;13;12;15
63;15;10;13;15;8
27;8;10;15;10;7
46;12;12;14;12;10
81;10;13;15;13;6
77;8;13;14;7;7
39;7;12;15;9;11
54;13;12;13;12;9
27;15;7;12;7;9
72;8;9;7;10;10
13;81;73;66;81;75
70;11;8;12;7;11
26;11;9;14;16;12
34;9;7;15;12;13
78;9;15;10;15;8
79;16;13;9;10;14
80;10;7;14;12;15
75;10;8;12;9;12
14;75;80;81;76;80
73;7;10;14;7;11
81;7;15;7;10;10
26;12;15;9;14;11
32;9;9;16;12;11
77;13;8;11;12;12
65;10;7;16;13;14
69;6;8;10;14;12
77;13;7;15;7;14
86;9;15;11;6;10
82;12;13;6;12;11
13;80;76;68;77;81
77;7;15;9;13;10
79;12;9;5;11;15
22;9;9;8;6;8
26;11;10;7;8;8
55;16;6;10;8;16
78;8;11;7;8;8
73;13;14;13;15;16
79;13;8;14;9;15
18;79;81;78;77;75
23;14;7;12;14;11
68;10;12;10;9;8
60;9;10;16;9;15
76;7;15;10;15;13
66;12;9;15;8;16
76;14;8;14;14;6
75;9;16;6;8;14
48;12;6;12;11;11
75;15;12;11;8;11
76;12;6;8;7;9
76;11;11;9;8;12
30;5;6;5;5;6
74;9;15;14;10;16
22;14;16;10;7;12
12;83;67;66;78;82
62;7;7;14;6;8
71;6;7;9;10;11
80;13;8;11;10;9
63;15;14;7;10;7
22;15;10;11;12;7
66;3;5;3;3;5
15;80;73;71;77;80
37;11;7;7;13;12
33;6;11;15;14;8
18;14;8;11;7;7
66;11;9;11;10;10
78;5;3;5;5;3
19;8;14;9;6;9
78;7;11;10;14;13
17;15;6;12;14;9
12;82;76;60;76;85
70;6;7;9;15;5
17;15;9;10;13;9
78;15;12;14;15;6
28;7;11;13;14;10
51;7;11;7;9;7
15;12;12;11;9;9
77;14;7;14;15;16
10;77;76;74;77;81
40;10;8;14;10;8
70;8;11;14;16;12
76;10;15;7;10;15
79;8;14;12;11;12
25;11;14;13;12;7
81;8;13;12;12;8
18;14;15;11;12;7
77;16;9;13;8;6
59;16;14;16;14;14
30;5;3;5;5;3
78;10;6;13;10;10
78;6;11;10;12;12
44;12;11;12;10;13
79;14;8;15;13;9
78;15;16;9;12;6
70;6;15;9;15;10
26;12;13;14;6;11
78;15;16;11;11;7
74;12;14;10;11;16
26;14;8;8;10;10
64;14;13;12;15;16
13;81;76;65;74;80
73;11;15;15;12;7
71;15;14;8;6;7
37;12;16;11;7;15
64;7;10;9;15;13
50;4;2;3;2;4
80;11;10;12;9;10
35;11;12;8;10;12
78;8;9;7;15;10
71;9;7;8;16;16
63;15;9;11;15;8
62;11;14;7;12;14
75;9;13;10;9;14
81;7;13;16;15;14
14;80;76;77;77;78
76;12;7;11;12;13
73;8;11;8;14;12
50;8;15;6;15;15
52;10;8;9;14;9
27;11;15;7;6;13
32;12;16;12;13;7
80;11;12;16;16;8
19;78;77;85;75;78
62;4;5;4;6;6
48;3;3;5;5;3
19;15;12;11;11;8
77;15;13;13;14;16
75;14;6;8;14;16
13;79;73;75;78;81
77;2;3;4;2;4
78;14;10;15;15;12
76;13;11;16;6;6
79;11;8;6;9;14
18;82;73;72;78;80
15;14;5;12;10;13
61;14;11;15;8;16
58;15;10;13;6;10
70;9;16;10;7;7
32;16;16;14;15;6
78;13;15;10;15;14
77;14;12;7;14;12
39;10;9;16;9;9
80;15;15;11;8;8
75;8;14;9;7;11
34;11;12;9;16;9
62;12;12;10;15;15
42;15;10;12;6;14
19;14;14;8;12;10
36;7;15;10;10;12
68;14;8;13;10;15
76;11;14;10;12;12
73;7;7;10;12;15
75;14;12;8;6;13
25;13;14;12;10;11
22;13;7;15;7;15
72;12;8;14;15;15
73;7;15;9;8;11
77;14;11;15;15;7
68;12;8;16;12;12
43;7;12;15;6;7
18;14;7;11;9;14
35;1;1;1;1;1
28;12;6;11;15;12
20;9;9;9;16;6
72;8;12;11;7;11
75;14;8;12;8;11
30;13;8;12;7;13
67;8;14;16;13;12
49;14;11;10;11;6
77;11;8;8;16;12
69;10;16;11;13;9
12;76;75;67;80;78
76;7;15;13;9;7
34;11;14;14;12;14
73;12;16;11;14;8
30;8;15;14;7;12
20;12;11;11;5;5
15;80;72;60;77;83
54;15;8;11;14;13
21;6;6;15;16;7
78;7;13;14;10;14
45;14;11;6;11;8
77;11;10;11;14;12
58;6;6;12;15;13
33;9;10;6;12;16
78;14;8;12;16;13
80;12;9;8;13;8
44;15;7;15;10;6
9;76;77;71;72;79
69;6;15;12;15;13
72;10;7;16;15;14
75;9;16;8;8;10
24;6;8;8;15;6
79;7;11;10;16;10
74;10;6;10;8;16
61;8;15;15;16;11
77;8;15;10;13;12
80;5;3;5;4;4
76;12;11;7;8;14
33;15;5;12;14;14
76;9;15;10;12;9
62;7;13;12;15;15
21;14;11;6;8;11
43;14;14;12;10;6
78;10;15;13;15;8
10;75;69;82;80;81
20;14;13;11;6;13
18;82;72;78;74;77
23;13;12;11;9;11
77;15;12;11;8;8
72;7;15;15;12;6
73;15;11;8;15;12
15;74;79;75;77;75
29;7;16;15;8;6
40;13;11;9;7;7
32;11;12;8;8;6
22;7;12;11;12;12
37;6;16;6;7;14
48;11;8;15;12;7
21;12;12;16;14;9
22;16;12;13;14;16
13;13;13;7;5;14
80;7;6;10;14;10
80;16;9;9;15;7
23;7;12;6;9;11
82;13;8;8;9;16
79;15;13;6;11;11
73;14;6;7;6;15
16;78;74;67;75;81
68;7;8;7;7;9
66;14;11;14;14;7
50;9;11;8;6;6
22;16;14;15;14;15
75;8;8;9;13;16
69;10;13;8;15;10
79;12;7;8;11;12
77;11;15;11;10;12
29;8;8;9;12;15
77;6;8;12;16;11
14;76;79;61;79;72
78;12;12;11;8;12
82;16;8;6;10;9
74;9;16;7;9;13
29;11;16;15;9;14
76;11;15;11;15;16
25;16;16;13;8;6
63;14;7;15;11;15
67;15;10;9;14;13
76;15;16;13;7;8
46;8;6;8;9;16
77;6;15;16;8;8
72;5;5;5;5;5
22;9;11;7;9;13
79;13;11;13;11;6
30;7;16;16;6;12
36;7;11;10;11;13
75;12;6;11;14;14
77;6;11;14;13;11
22;9;12;6;13;16
12;15;9;10;15;16
75;12;11;8;10;13
36;16;15;7;9;7
14;13;13;14;8;15
20;12;8;16;8;7
13;78;75;74;75;79
72;11;6;7;13;7
71;14;8;11;10;8
76;11;12;12;13;13
72;15;14;8;14;14
77;11;6;12;9;14
19;6;14;8;13;14
80;10;12;10;15;9
55;7;11;12;9;12
41;9;11;13;16;8
24;12;6;14;12;9
15;77;76;68;79;78
75;15;8;16;10;13
84;12;9;8;12;11
11;7;14;8;10;13
48;16;16;9;12;11
30;9;13;7;9;8
27;13;12;10;15;11
18;78;71;75;76;80
21;11;8;16;10;8
78;15;11;11;10;11
77;9;7;7;6;7
77;14;15;7;9;15
81;10;7;14;11;15
80;9;10;7;11;15
75;3;3;5;3;3
78;8;12;11;9;7
29;14;16;16;7;16
15;8;9;8;8;11
74;12;12;11;15;11
72;11;6;6;13;7
30;10;12;8;8;14
60;11;7;11;12;11
69;15;15;7;10;12
78;10;10;15;9;6
80;14;10;15;9;8
76;11;13;12;15;14
77;10;7;11;13;8
61;16;8;16;9;6
12;14;11;10;13;7
15;73;74;74;79;81
40;13;12;10;7;14
74;15;11;16;7;8
23;15;16;14;7;10
74;9;13;11;12;14
12;78;76;64;77;81
11;78;77;68;74;79
81;12;12;7;13;11
85;12;14;13;12;12
19;13;8;9;10;15
18;15;13;16;11;15
71;12;16;10;13;7
52;16;7;14;7;8
17;12;11;7;11;14
80;8;12;6;14;14
74;7;16;6;12;11
77;9;11;8;15;11
18;10;7;7;10;5
14;76;76;65;77;78
68;8;16;8;11;14
80;10;6;15;10;14
47;7;13;7;8;10
13;79;76;76;74;78
75;11;15;12;9;12
70;11;7;5;12;14
76;32;33;38;32;34
78;14;8;9;15;8
71;12;8;13;7;7
45;11;8;10;12;6
78;13;15;9;10;12
76;11;14;12;12;11
67;13;6;16;14;10
61;11;7;12;15;13
78;6;5;5;11;7
71;7;7;14;15;14
13;15;12;6;7;13
74;7;13;11;6;7
34;15;12;15;12;11
18;8;14;13;15;15
30;17;14;17;17;17
50;12;15;7;16;8
24;11;9;14;13;6
24;6;8;14;9;7
76;14;12;13;9;10
72;8;7;14;15;9
17;14;6;8;12;6
70;15;11;10;14;11
12;78;75;72;74;77
76;10;14;7;14;10
52;7;12;8;10;14
18;14;12;16;13;16
72;10;13;13;9;6
69;7;15;12;9;12
32;9;16;10;14;7
85;9;9;14;10;12
77;12;8;9;10;11
57;7;14;10;8;16
75;6;7;8;15;9
78;16;14;6;13;14
17;76;79;70;78;79
58;12;13;8;12;6
76;11;7;16;9;12
76;9;15;14;8;12
26;11;11;8;14;15
79;11;8;11;5;6
57;10;6;12;7;15
10;12;7;10;8;16
14;75;75;74;78;77
54;14;13;8;8;7
73;15;15;12;6;6
33;13;14;6;14;15
15;12;13;14;8;6
19;13;6;15;7;15
47;13;14;12;12;13
42;15;14;15;7;10
80;12;13;10;16;13
64;8;11;14;13;10
74;8;7;7;14;14
77;14;14;9;13;10
31;13;9;6;12;10
77;15;10;9;7;14
74;16;9;9;14;13
34;14;11;8;15;13
38;8;8;10;6;10
14;14;8;15;8;12
77;10;12;10;15;8
75;13;9;8;14;10
12;76;68;75;77;83
76;13;11;8;9;6
65;9;11;15;9;7
18;5;7;7;7;10
69;13;7;11;6;14
78;11;8;11;8;13
38;16;15;16;13;11
14;78;72;70;73;78
78;12;14;7;6;10
64;8;7;14;14;12
79;12;10;7;7;7
76;11;6;6;13;7
80;10;7;6;14;9
71;8;14;15;7;10
78;8;9;5;7;11
29;11;14;8;15;11
72;11;14;5;11;11
83;12;13;9;8;11
15;78;76;68;75;79
29;13;12;11;13;10
